customer_key,recency,frequency,monetary,r,f,m,rfm_score,Segment
11000,255,3,8248.99,2,5,5,255,255
11001,34,3,6383.879999999999,5,5,5,555,555
11002,324,3,8114.039999999999,1,5,5,155,155
11003,248,3,8139.289999999999,2,5,5,255,255
11004,257,3,8196.009999999998,2,5,5,255,255
11005,256,3,8121.33,2,5,5,255,255
11006,244,3,8119.03,2,5,5,255,255
11007,300,3,8211.0,1,5,5,155,155
11008,317,3,8106.3099999999995,1,5,5,155,155
11009,249,3,8091.33,2,5,5,255,255
11010,235,3,8088.039999999999,2,5,5,255,255
11011,300,3,8133.039999999999,1,5,5,155,155
11012,90,2,81.26,4,5,2,452,452
11013,3,2,113.96000000000001,5,5,3,553,553
11014,258,2,138.45,2,5,3,253,253
11015,360,1,2500.97,1,1,4,114,Lost Customers
11016,338,1,2332.2799999999997,1,1,4,114,Lost Customers
11017,91,3,6434.3099999999995,4,5,5,455,455
11018,81,3,6533.28,4,5,5,455,455
11019,8,17,882.7,5,5,3,553,553
11020,380,1,2316.97,1,1,4,114,Lost Customers
11021,355,1,2371.9599999999996,1,1,4,114,Lost Customers
11022,358,1,2322.2799999999997,1,1,4,114,Lost Customers
11023,7,2,122.24000000000001,5,5,3,553,553
11024,171,2,56.510000000000005,3,5,2,352,352
11025,80,3,6576.799999999999,4,5,5,455,455
11026,90,3,6575.79,4,5,5,455,455
11027,81,3,6591.57,4,5,5,455,455
11028,98,3,6474.62,4,5,5,455,455
11029,63,3,6565.29,4,5,5,455,455
11030,65,3,6471.32,4,5,5,455,455
11031,61,3,6478.599999999999,4,5,5,455,455
11032,66,3,6525.5599999999995,4,5,5,455,455
11033,69,3,6495.289999999999,4,5,5,455,455
11034,64,3,6491.32,4,5,5,455,455
11035,59,3,6451.3099999999995,4,5,5,455,455
11036,356,1,2354.9799999999996,1,1,4,114,Lost Customers
11037,358,1,2374.2299999999996,1,1,4,114,Lost Customers
11038,62,3,6437.33,4,5,5,455,455
11039,63,3,6636.58,4,5,5,455,455
11040,285,1,2350.9599999999996,1,1,4,114,Lost Customers
11041,364,1,2380.47,1,1,4,114,Lost Customers
11042,88,2,3112.33,4,5,4,454,454
11043,148,2,47.980000000000004,3,5,2,352,352
11044,66,3,6515.299999999999,4,5,5,455,455
11045,76,2,114.96000000000001,4,5,3,453,453
11046,62,3,6616.8099999999995,4,5,5,455,455
11047,55,3,6582.33,5,5,5,555,555
11048,19,3,6498.24,5,5,5,555,555
11049,76,2,81.26,4,5,2,452,452
11050,55,3,5007.3,5,5,5,555,555
11051,13,2,123.95,5,5,3,553,553
11052,231,3,8131.32,2,5,5,255,255
11053,361,1,2329.9799999999996,1,1,4,114,Lost Customers
11054,228,3,8223.02,2,5,5,255,255
11055,220,3,8168.01,2,5,5,255,255
11056,227,3,8207.5,2,5,5,255,255
11057,237,3,8088.039999999999,2,5,5,255,255
11058,223,3,8248.02,2,5,5,255,255
11059,303,3,116.93,1,5,3,153,153
11060,202,3,8153.0199999999995,2,5,5,255,255
11061,213,3,8129.0199999999995,2,5,5,255,255
11062,371,1,2351.9599999999996,1,1,4,114,Lost Customers
11063,366,1,2372.95,1,1,4,114,Lost Customers
11064,353,1,2304.9799999999996,1,1,4,114,Lost Customers
11065,9,2,202.57,5,5,3,553,553
11066,116,2,81.26,4,5,2,452,452
11067,8,2,105.75,5,5,3,553,553
11068,97,3,113.36,4,5,3,453,453
11069,223,3,8104.049999999999,2,5,5,255,255
11070,201,3,8165.549999999999,2,5,5,255,255
11071,43,3,110.22999999999999,5,5,3,553,553
11072,212,3,8194.0,2,5,5,255,255
11073,145,3,191.9,3,5,3,353,353
11074,231,3,94.19,2,5,3,253,253
11075,203,3,8068.03,2,5,5,255,255
11076,206,3,8159.039999999999,2,5,5,255,255
11077,215,3,8169.029999999999,2,5,5,255,255
11078,0,17,913.27,5,5,3,553,553
11079,13,3,57.95,5,5,2,552,552
11080,204,3,8204.02,2,5,5,255,255
11081,275,2,104.25999999999999,1,5,3,153,153
11082,68,2,3110.81,4,5,4,454,454
11083,66,2,3137.3199999999997,4,5,4,454,454
11084,53,2,3078.6099999999997,5,5,4,554,554
11085,10,2,128.96,5,5,3,553,553
11086,23,2,153.45,5,5,3,553,553
11087,157,2,200.28,3,5,3,353,353
11088,62,2,3176.7799999999997,4,5,4,454,454
11089,56,2,3188.2799999999997,5,5,4,554,554
11090,53,3,6704.08,5,5,5,555,555
11091,10,28,1189.33,5,5,4,554,554
11092,206,3,8110.0199999999995,2,5,5,255,255
11093,219,3,8180.0,2,5,5,255,255
11094,8,3,235.89,5,5,3,553,553
11095,202,3,8158.009999999999,2,5,5,255,255
11096,167,3,8063.039999999999,3,5,5,355,355
11097,173,3,8099.029999999999,3,5,5,355,355
11098,89,3,88.96,4,5,2,452,452
11099,196,3,8215.99,2,5,5,255,255
11100,159,3,8172.51,3,5,5,355,355
11101,198,3,8262.52,2,5,5,255,255
11102,35,3,102.91,5,5,3,553,553
11103,221,3,8182.5,2,5,5,255,255
11104,212,3,8173.029999999999,2,5,5,255,255
11105,222,3,8095.99,2,5,5,255,255
11106,212,3,8079.049999999999,2,5,5,255,255
11107,206,3,8171.009999999999,2,5,5,255,255
11108,204,3,8124.039999999999,2,5,5,255,255
11109,203,3,8245.009999999998,2,5,5,255,255
11110,146,3,8093.03,3,5,5,355,355
11111,144,3,8137.0,3,5,5,355,355
11112,133,3,8295.02,3,5,5,355,355
11113,267,3,109.88,2,5,3,253,253
11114,18,3,122.89,5,5,3,553,553
11115,13,3,113.71000000000001,5,5,3,553,553
11116,89,3,148.7,4,5,3,453,453
11117,202,3,8184.99,2,5,5,255,255
11118,1,3,123.8,5,5,3,553,553
11119,51,2,85.22,5,5,2,552,552
11120,116,3,8242.49,4,5,5,455,455
11121,70,3,58.16,4,5,2,452,452
11122,144,3,42.92999999999999,3,5,2,352,352
11123,1,3,149.84,5,5,3,553,553
11124,209,3,8129.0199999999995,2,5,5,255,255
11125,194,3,79.69,2,5,2,252,252
11126,71,3,4972.37,4,5,5,455,455
11127,104,2,43.980000000000004,4,5,2,452,452
11128,154,2,143.94,3,5,3,353,353
11129,369,2,5873.26,1,5,5,155,155
11130,35,1,37.29,5,1,1,511,511
11131,2,5,165.91,5,5,3,553,553
11132,279,1,2371.9399999999996,1,1,4,114,Lost Customers
11133,14,1,71.96000000000001,5,1,2,512,512
11134,71,3,4911.83,4,5,5,455,455
11135,270,1,2334.97,2,1,4,214,Needs Attention
11136,375,1,2380.47,1,1,4,114,Lost Customers
11137,4,2,202.57,5,5,3,553,553
11138,14,2,78.97,5,5,2,552,552
11139,88,2,83.97,4,5,2,452,452
11140,300,1,39.99,1,1,2,112,Lost Customers
11141,107,2,113.96000000000001,4,5,3,453,453
11142,7,17,980.77,5,5,3,553,553
11143,25,2,48.56,5,5,2,552,552
11144,353,1,2399.97,1,1,4,114,Lost Customers
11145,353,1,2309.97,1,1,4,114,Lost Customers
11146,120,3,112.93,3,5,3,353,353
11147,89,3,8195.5,4,5,5,455,455
11148,41,3,126.24000000000001,5,5,3,553,553
11149,45,3,41.26,5,5,2,552,552
11150,182,3,192.42,3,5,3,353,353
11151,85,3,8087.3099999999995,4,5,5,455,455
11152,369,1,2294.99,1,1,4,114,Lost Customers
11153,290,2,109.77,1,5,3,153,153
11154,368,1,2319.99,1,1,4,114,Lost Customers
11155,372,1,2319.99,1,1,4,114,Lost Customers
11156,370,1,2389.97,1,1,4,114,Lost Customers
11157,124,2,41.28,3,5,2,352,352
11158,359,1,2395.9599999999996,1,1,4,114,Lost Customers
11159,67,2,48.56,4,5,2,452,452
